Complex refractive index of Mg1.9Fe0.1SiO4 in the range from NIR to UV.
obtained from transmission and reflection of  thin sections (crystallographically non-oriented)


A (cm-1)	n.oliv.vis	k.oliv.vis
7611.12222444	1.62601612	0.000123
7656.93138628	1.62607531	0.000126
7702.74054811	1.62613336	0.00013
7748.54970994	1.62619043	0.000133
7794.35887177	1.62624724	0.000136
7840.16803361	1.62630177	0.000139
7885.97719544	1.62635629	0.000141
7931.78635727	1.62640982	0.000144
7977.5955191	1.62646235	0.000147
8023.40468094	1.62651375	0.00014947
8069.21384277	1.6265644	0.00015214
8115.0230046	1.62661393	0.00015423
8160.83216643	1.62666292	0.00015691
8206.64132827	1.62671098	0.00015939
8252.4504901	1.62675852	0.00016181
8298.25965193	1.62680408	0.00016425
8344.06881376	1.62685056	0.00016635
8389.8779756	1.6268951	0.00016911
8435.68713743	1.62693962	0.00017169
8481.49629926	1.62698315	0.00017363
8527.30546109	1.62702568	0.00017608
8573.11462292	1.62706821	0.00017842
8618.92378476	1.62710947	0.00018077
8664.73294659	1.62715026	0.00018331
8710.54210842	1.62718979	0.00018575
8756.35127025	1.62722931	0.00018855
8802.16043209	1.62726884	0.00019027
8847.96959392	1.62730637	0.00019302
8893.77875575	1.6273439	0.00019453
8939.58791758	1.62738142	0.00019689
8985.39707942	1.62741795	0.00019806
9031.20624125	1.62745348	0.00019893
9077.01540308	1.627489	0.0001997
9122.82456491	1.627524	0.00020006
9168.63372675	1.62755806	0.00020003
9214.44288858	1.627592	0.00019968
9260.25205041	1.62762512	0.00019891
9306.06121224	1.62765864	0.00019754
9351.87037407	1.62769017	0.00019615
9397.67953591	1.6277227	0.00019414
9443.48869774	1.627754	0.00019174
9489.29785957	1.62778475	0.000189
9535.1070214	1.62781528	0.0001862
9580.91618324	1.627845	0.00018322
9626.72534507	1.62787434	0.00018
9672.5345069	1.62790386	0.00017672
9718.34366873	1.62793239	0.00017346
9764.15283057	1.62796092	0.00016992
9809.9619924	1.62798944	0.00016606
9855.77115423	1.62801698	0.0001626
9901.58031606	1.628044	0.00015881
9947.3894779	1.628071	0.00015519
9993.19863973	1.628097	0.00015138
10039.00780156	1.62812308	0.00014751
10084.81696339	1.628149	0.00014396
10130.62612523	1.62817414	0.0001403
10176.43528706	1.62819967	0.00013675
10222.24444889	1.628224	0.0001334
10268.05361072	1.628248	0.00012965
10313.86277255	1.62827225	0.00012627
10359.67193439	1.628296	0.00012294
10405.48109622	1.6283193	0.00011954
10451.29025805	1.62834283	0.0001164
10497.09941988	1.62836536	0.00011322
10542.90858172	1.62838788	0.00011024
10588.71774355	1.62841	0.00010727
10634.52690538	1.62843194	0.00010436
10680.33606721	1.62845347	0.0001016
10726.14522905	1.628475	0.00009892
10771.95439088	1.628496	0.00009624
10817.76355271	1.628517	0.00009376
10863.57271454	1.628537	0.00009128
10909.38187638	1.62855711	0.00008904
10955.19103821	1.62857763	0.0000868
11001.00020004	1.62859716	0.00008475
11046.80936187	1.62861669	0.00008276
11092.6185237	1.628636	0.00008085
11138.42768554	1.628655	0.00007894
11184.23684737	1.628674	0.00007723
11230.0460092	1.6286928	0.00007563
11275.85517103	1.628711	0.00007402
11321.66433287	1.628729	0.00007251
11367.4734947	1.628747	0.000071
11413.28265653	1.6287649	0.00006969
11459.09181836	1.628782	0.00006839
11504.9009802	1.628799	0.00006709
11550.71014203	1.628816	0.00006591
11596.51930386	1.62883302	0.00006474
11642.32846569	1.62885	0.00006365
11688.13762753	1.62886607	0.0000625
11733.94678936	1.6288826	0.00006134
11779.75595119	1.628899	0.00006025
11825.56511302	1.62891465	0.00005918
11871.37427485	1.62893018	0.00005811
11917.18343669	1.62894571	0.00005704
11962.99259852	1.628961	0.00005597
12008.80176035	1.628976	0.00005489
12054.61092218	1.628991	0.00005372
12100.42008402	1.629006	0.00005265
12146.22924585	1.62902034	0.00005168
12192.03840768	1.629035	0.00004977
12237.84756951	1.6290494	0.00004705
12283.65673135	1.62906393	0.00004576
12329.46589318	1.629078	0.00004459
12375.27505501	1.629091	0.00004332
12421.08421684	1.629105	0.00004245
12466.89337868	1.629119	0.00004127
12512.70254051	1.629132	0.0000401
12558.51170234	1.62914509	0.00003917
12604.32086417	1.62915862	0.00003813
12650.13002601	1.62917115	0.00003718
12695.93918784	1.629184	0.00003612
12741.74834967	1.629197	0.00003514
12787.5575115	1.62920973	0.00003387
12833.36667333	1.629222	0.00003275
12879.17583517	1.629234	0.00003163
12924.984997	1.62924632	0.00003066
12970.79415883	1.62925884	0.00002944
13016.60332066	1.62927	0.00002851
13062.4124825	1.629282	0.00002747
13108.22164433	1.629294	0.00002657
13154.03080616	1.629305	0.0000256
13199.83996799	1.62931648	0.00002486
13245.64912983	1.629328	0.00002403
13291.45829166	1.629339	0.00002319
13337.26745349	1.62935	0.00002245
13383.07661532	1.629361	0.00002164
13428.88577716	1.629372	0.00002088
13474.69493899	1.62938264	0.00002015
13520.50410082	1.629393	0.00001941
13566.31326265	1.6294037	0.00001877
13612.12242448	1.629414	0.00001814
13657.93158632	1.629424	0.0000176
13703.74074815	1.629435	0.00001697
13749.54990998	1.6294448	0.00001653
13795.35907181	1.62945434	0.00001609
13841.16823365	1.62946486	0.00001556
13886.97739548	1.629474	0.00001522
13932.78655731	1.629484	0.00001489
13978.59571914	1.62949345	0.00001435
14024.40488098	1.629503	0.00001391
14070.21404281	1.6295125	0.0000136
14116.02320464	1.629522	0.00001324
14161.83236647	1.629531	0.0000128
14207.64152831	1.62954	0.0000124
14253.45069014	1.629549	0.0000121
14299.25985197	1.629558	0.0000118
14345.0690138	1.629567	0.00001146
14390.87817564	1.629576	0.0000112
14436.68733747	1.629584	0.000011
14482.4964993	1.629593	0.00001075
14528.30566113	1.62960178	0.0000106
14574.11482296	1.62961	0.00001028
14619.9239848	1.629618	0.0000101
14665.73314663	1.629631	0.0000099
14711.54230846	1.629643	0.00000967
14757.35147029	1.62965541	0.0000096
14803.16063213	1.62966794	0.0000094
14848.96979396	1.62967947	0.0000093
14894.77895579	1.629691	0.0000093
14940.58811762	1.629703	0.0000092
14986.39727946	1.629714	0.000009
15032.20644129	1.629725	0.000009
15078.01560312	1.629736	0.0000089
15123.82476495	1.629747	0.0000089
15169.63392679	1.629758	0.00000888
15215.44308862	1.629768	0.0000089
15261.25225045	1.62977821	0.00000896
15307.06141228	1.629788	0.000009
15352.87057411	1.629798	0.000009
15398.67973595	1.629808	0.000009
15444.48889778	1.62981732	0.000009
15490.29805961	1.629827	0.000009
15536.10722144	1.629836	0.000009
15581.91638328	1.629845	0.0000089
15627.72554511	1.629854	0.0000089
15673.53470694	1.629863	0.0000089
15719.34386877	1.629872	0.0000089
15765.15303061	1.62988	0.0000088
15810.96219244	1.62988854	0.0000088
15856.77135427	1.629897	0.0000087
15902.5805161	1.629905	0.0000086
15948.38967794	1.629913	0.0000085
15994.19883977	1.629921	0.0000084
16040.0080016	1.629928	0.00000823
16085.81716343	1.629936	0.0000081
16131.62632527	1.629943	0.00000796
16177.4354871	1.62995076	0.0000078
16223.24464893	1.629958	0.00000769
16269.05381076	1.629965	0.0000075
16314.86297259	1.629972	0.00000732
16360.67213443	1.62997887	0.0000072
16406.48129626	1.629985	0.0000071
16452.29045809	1.629992	0.000007
16498.09961992	1.629998	0.00000687
16543.90878176	1.630004	0.0000067
16589.71794359	1.630011	0.0000066
16635.52710542	1.630017	0.0000066
16681.33626725	1.630023	0.0000065
16727.14542909	1.630029	0.00000639
16772.95459092	1.630034	0.0000062
16818.76375275	1.63004	0.0000061
16864.57291458	1.63004567	0.000006
16910.38207642	1.630051	0.0000059
16956.19123825	1.630056	0.0000058
17002.00040008	1.630062	0.0000057
17047.80956191	1.630067	0.00000564
17093.61872374	1.630072	0.0000055
17139.42788558	1.630077	0.0000054
17185.23704741	1.630082	0.0000054
17231.04620924	1.630086	0.0000053
17276.85537107	1.630091	0.0000052
17322.66453291	1.63009595	0.0000051
17368.47369474	1.6301	0.00000509
17414.28285657	1.630104	0.0000049
17460.0920184	1.630109	0.0000049
17505.90118024	1.630113	0.0000048
17551.71034207	1.630117	0.0000048
17597.5195039	1.630121	0.00000461
17643.32866573	1.630125	0.0000046
17689.13782757	1.630129	0.0000046
17734.9469894	1.630133	0.0000045
17780.75615123	1.63013623	0.0000045
17826.56531306	1.63014	0.0000045
17872.37447489	1.630144	0.0000045
17918.18363673	1.630147	0.0000045
17963.99279856	1.630151	0.0000044
18009.80196039	1.630154	0.0000044
18055.61112222	1.630157	0.0000044
18101.42028406	1.63016	0.0000045
18147.22944589	1.630164	0.0000045
18193.03860772	1.630167	0.0000045
18238.84776955	1.63017	0.0000045
18284.65693139	1.630173	0.0000045
18330.46609322	1.630175	0.0000046
18376.27525505	1.630178	0.0000047
18422.08441688	1.630181	0.0000047
18467.89357872	1.630184	0.0000048
18513.70274055	1.630186	0.0000049
18559.51190238	1.630189	0.000005
18605.32106421	1.630191	0.00000508
18651.13022605	1.630194	0.0000051
18696.93938788	1.630196	0.0000052
18742.74854971	1.630198	0.0000053
18788.55771154	1.630201	0.0000054
18834.36687337	1.630203	0.00000546
18880.17603521	1.630205	0.0000055
18925.98519704	1.630207	0.0000056
18971.79435887	1.630209	0.0000056
19017.6035207	1.630211	0.0000056
19063.41268254	1.630213	0.0000057
19109.22184437	1.630215	0.0000057
19155.0310062	1.630217	0.0000057
19200.84016803	1.630218	0.0000057
19246.64932987	1.63022	0.0000058
19292.4584917	1.630222	0.0000058
19338.26765353	1.630223	0.0000058
19384.07681536	1.630225	0.00000589
19429.8859772	1.630226	0.0000059
19475.69513903	1.630228	0.000006
19521.50430086	1.630229	0.000006
19567.31346269	1.630231	0.0000061
19613.12262452	1.630232	0.00000617
19658.93178636	1.630234	0.0000062
19704.74094819	1.630235	0.0000063
19750.55011002	1.630236	0.0000064
19796.35927185	1.630237	0.0000065
19842.16843369	1.630238	0.0000067
19887.97759552	1.63024	0.00000689
19933.78675735	1.630241	0.00000713
19979.59591918	1.630242	0.0000074
20025.40508102	1.630243	0.0000077
20071.21424285	1.630244	0.00000803
20117.02340468	1.630245	0.00000847
20162.83256651	1.630246	0.00000881
20208.64172835	1.630247	0.000009
20254.45089018	1.630248	0.000009
20300.26005201	1.630249	0.000009
20346.06921384	1.63025	0.000009
20391.87837568	1.630251	0.0000091
20437.68753751	1.630252	0.0000091
20483.49669934	1.630253	0.0000091
20529.30586117	1.630254	0.00000901
20575.115023	1.630255	0.000009
20620.92418484	1.630256	0.0000089
20666.73334667	1.630257	0.0000088
20712.5425085	1.630258	0.0000087
20758.35167033	1.630259	0.0000086
20804.16083217	1.63026	0.0000086
20849.969994	1.630261	0.0000087
20895.77915583	1.630262	0.00000878
20941.58831766	1.630263	0.0000089
20987.3974795	1.630264	0.00000905
21033.20664133	1.630265	0.0000093
21079.01580316	1.630266	0.00000962
21124.82496499	1.630268	0.00000996
21170.63412683	1.630269	0.0000102
21216.44328866	1.63027	0.0000103
21262.25245049	1.630271	0.0000103
21308.06161232	1.630272	0.0000103
21353.87077415	1.630273	0.0000103
21399.67993599	1.630274	0.0000103
21445.48909782	1.630275	0.0000103
21491.29825965	1.630276	0.0000104
21537.10742148	1.630277	0.0000104
21582.91658332	1.630278	0.0000105
21628.72574515	1.63028	0.00001066
21674.53490698	1.630281	0.00001079
21720.34406881	1.630282	0.00001093
21766.15323065	1.630283	0.0000111
21811.96239248	1.630284	0.0000113
21857.77155431	1.630285	0.00001144
21903.58071614	1.630286	0.0000116
21949.38987798	1.630287	0.0000117
21995.19903981	1.630288	0.0000118
22041.00820164	1.630289	0.0000119
22086.81736347	1.63029	0.000012
22132.62652531	1.630291	0.000012
22178.43568714	1.630292	0.0000121
22224.24484897	1.630293	0.0000121
22270.0540108	1.630294	0.0000121
22315.86317263	1.630295	0.0000121
22361.67233447	1.630296	0.000012
22407.4814963	1.630297	0.0000119
22453.29065813	1.630298	0.0000117
22499.09981996	1.630299	0.0000115
22544.9089818	1.6303	0.0000114
22590.71814363	1.630301	0.00001139
22636.52730546	1.630302	0.0000113
22682.33646729	1.630303	0.0000114
22728.14562913	1.630304	0.0000115
22773.95479096	1.630305	0.0000115
22819.76395279	1.630306	0.0000116
22865.57311462	1.630307	0.0000116
22911.38227646	1.6303083	0.0000117
22957.19143829	1.63031	0.0000117
23003.00060012	1.630311	0.0000117
23048.80976195	1.630312	0.0000117
23094.61892378	1.630313	0.0000117
23140.42808562	1.630315	0.0000117
23186.23724745	1.630316	0.0000117
23232.04640928	1.630317	0.00001161
23277.85557111	1.630318	0.0000116
23323.66473295	1.63032	0.0000116
23369.47389478	1.630321	0.0000116
23415.28305661	1.630322	0.0000116
23461.09221844	1.630324	0.0000116
23506.90138028	1.630325	0.0000115
23552.71054211	1.630326	0.00001143
23598.51970394	1.630328	0.0000114
23644.32886577	1.630329	0.0000113
23690.13802761	1.63033	0.0000113
23735.94718944	1.630332	0.0000112
23781.75635127	1.630333	0.0000111
23827.5655131	1.630334	0.0000111
23873.37467493	1.630336	0.0000111
23919.18383677	1.630337	0.0000111
23964.9929986	1.630339	0.0000111
24010.80216043	1.63034	0.0000111
24056.61132226	1.63034148	0.0000111
24102.4204841	1.630343	0.0000111
24148.22964593	1.630344	0.0000111
24194.03880776	1.630346	0.0000111
24239.84796959	1.630347	0.0000111
24285.65713143	1.630349	0.0000112
24331.46629326	1.63035	0.0000113
24377.27545509	1.63035118	0.0000114
24423.08461692	1.630353	0.0000114
24468.89377876	1.630354	0.0000114
24514.70294059	1.630356	0.0000115
24560.51210242	1.630357	0.0000117
24606.32126425	1.630359	0.0000119
24652.13042609	1.63036	0.00001223
24697.93958792	1.630362	0.00001257
24743.74874975	1.630363	0.000013
24789.55791158	1.630365	0.00001344
24835.36707341	1.630366	0.00001387
24881.17623525	1.630368	0.00001411
24926.98539708	1.630369	0.00001415
24972.79455891	1.630371	0.00001402
25018.60372074	1.63037256	0.000014
25064.41288258	1.630374	0.000014
25110.22204441	1.630376	0.000014
25156.03120624	1.630377	0.0000141
25201.84036807	1.630379	0.0000142
25247.64952991	1.63038	0.0000144
25293.45869174	1.630382	0.0000146
25339.26785357	1.63038325	0.00001477
25385.0770154	1.630385	0.000015
25430.88617724	1.630387	0.0000151
25476.69533907	1.630388	0.0000152
25522.5045009	1.63039	0.0000153
25568.31366273	1.630392	0.0000154
25614.12282456	1.630393	0.0000155
25659.9319864	1.630395	0.0000157
25705.74114823	1.630397	0.00001586
25751.55031006	1.630398	0.000016
25797.35947189	1.6304	0.0000162
25843.16863373	1.630402	0.0000163
25888.97779556	1.630403	0.0000164
25934.78695739	1.630405	0.0000165
25980.59611922	1.630407	0.0000166
26026.40528106	1.630409	0.00001661
26072.21444289	1.63041	0.0000167
26118.02360472	1.630412	0.0000168
26163.83276655	1.630414	0.0000168
26209.64192839	1.630416	0.0000169
26255.45109022	1.630417	0.0000169
26301.26025205	1.630419	0.0000169
26347.06941388	1.630421	0.000017
26392.87857572	1.630423	0.000017
26438.68773755	1.630425	0.00001703
26484.49689938	1.630427	0.0000171
26530.30606121	1.630428	0.0000172
26576.11522304	1.63043	0.0000173
26621.92438488	1.630432	0.0000173
26667.73354671	1.630434	0.0000173
26713.54270854	1.630436	0.0000173
26759.35187037	1.630438	0.0000173
26805.16103221	1.63044	0.0000174
26850.97019404	1.630442	0.0000175
26896.77935587	1.630444	0.0000176
26942.5885177	1.630445	0.0000177
26988.39767954	1.630448	0.00001786
27034.20684137	1.630449	0.000018
27080.0160032	1.630451	0.0000182
27125.82516503	1.630453	0.00001837
27171.63432687	1.630455	0.0000186
27217.4434887	1.630457	0.00001874
27263.25265053	1.6304594	0.0000189
27309.06181236	1.63046194	0.00001912
27354.87097419	1.630464	0.0000193
27400.68013603	1.630466	0.00001959
27446.48929786	1.630468	0.00001982
27492.29845969	1.63047	0.0000201
27538.10762152	1.630472	0.0000204
27583.91678336	1.630474	0.00002073
27629.72594519	1.630476	0.0000211
27675.53510702	1.630478	0.0000215
27721.34426885	1.63048	0.00002184
27767.15343069	1.63048221	0.0000222
27812.96259252	1.630485	0.00002261
27858.77175435	1.630487	0.00002305
27904.58091618	1.630489	0.0000235
27950.39007802	1.630491	0.00002402
27996.19923985	1.630493	0.00002446
28042.00840168	1.630496	0.00002499
28087.81756351	1.630498	0.00002553
28133.62672535	1.6305	0.00002606
28179.43588718	1.630502	0.0000267
28225.24504901	1.630505	0.00002727
28271.05421084	1.630507	0.00002787
28316.86337267	1.630509	0.00002851
28362.67253451	1.630512	0.00002924
28408.48169634	1.630514	0.00002988
28454.29085817	1.630516	0.00003062
28500.10002	1.630519	0.0000313
28545.90918184	1.630521	0.00003199
28591.71834367	1.630524	0.00003275
28637.5275055	1.630526	0.00003352
28683.33666733	1.630528	0.0000342
28729.14582917	1.630531	0.00003503
28774.954991	1.630533	0.00003577
28820.76415283	1.630536	0.0000366
28866.57331466	1.630538	0.00003738
28912.3824765	1.630541	0.00003817
28958.19163833	1.630543	0.00003901
29004.00080016	1.630545	0.00003979
29049.80996199	1.630548	0.00004057
29095.61912382	1.630551	0.00004134
29141.42828566	1.630553	0.00004215
29187.23744749	1.630556	0.00004298
29233.04660932	1.630558	0.00004375
29278.85577115	1.630561	0.00004453
29324.66493299	1.630563	0.0000453
29370.47409482	1.630566	0.00004613
29416.28325665	1.630568	0.00004687
29462.09241848	1.630571	0.00004771
29507.90158032	1.630573	0.00004844
29553.71074215	1.630576	0.00004918
29599.51990398	1.630578	0.00005001
29645.32906581	1.630581	0.00005075
29691.13822765	1.630583	0.00005149
29736.94738948	1.630586	0.00005232
29782.75655131	1.630588	0.00005302
29828.56571314	1.630591	0.00005379
29874.37487497	1.630593	0.00005443
29920.18403681	1.630596	0.00005517
29965.99319864	1.630598	0.0000558
30011.80236047	1.630601	0.00005644
30057.6115223	1.630603	0.00005707
30103.42068414	1.630605	0.00005771
30149.22984597	1.630608	0.00005835
30195.0390078	1.63061	0.00005896
30240.84816963	1.630612	0.00005952
30286.65733147	1.630615	0.00006011
30332.4664933	1.630617	0.00006069
30378.27565513	1.630619	0.00006133
30424.08481696	1.630621	0.00006186
30469.8939788	1.630623	0.0000625
30515.70314063	1.630626	0.0000631
30561.51230246	1.630628	0.00006367
30607.32146429	1.63063	0.00006431
30653.13062613	1.630632	0.00006484
30698.93978796	1.630634	0.00006548
30744.74894979	1.630636	0.00006601
30790.55811162	1.630638	0.00006655
30836.36727345	1.630641	0.00006719
30882.17643529	1.630643	0.00006774
30927.98559712	1.630645	0.00006836
30973.79475895	1.630647	0.00006899
31019.60392078	1.630649	0.00006963
31065.41308262	1.630651	0.00007027
31111.22224445	1.630654	0.0000709
31157.03140628	1.630656	0.00007147
31202.84056811	1.630658	0.00007215
31248.64972995	1.630661	0.00007281
31294.45889178	1.630663	0.00007355
31340.26805361	1.63066535	0.00007438
31386.07721544	1.630668	0.00007523
31431.88637728	1.630671	0.00007601
31477.69553911	1.630673	0.00007669
31523.50470094	1.630676	0.00007735
31569.31386277	1.630679	0.00007796
31615.1230246	1.630682	0.0000786
31660.93218644	1.63068404	0.00007923
31706.74134827	1.630687	0.00007984
31752.5505101	1.6306901	0.0000805
31798.35967193	1.630694	0.00008114
31844.16883377	1.630697	0.00008178
31889.9779956	1.6307	0.00008251
31935.78715743	1.630703	0.00008315
31981.59631926	1.630707	0.00008388
32027.4054811	1.63071	0.00008462
32073.21464293	1.630714	0.00008531
32119.02380476	1.630717	0.00008609
32164.83296659	1.630721	0.00008683
32210.64212843	1.630725	0.00008756
32256.45129026	1.630728	0.0000884
32302.26045209	1.630732	0.00008917
32348.06961392	1.630736	0.00009007
32393.87877576	1.63074	0.00009101
32439.68793759	1.630744	0.00009189
32485.49709942	1.630748	0.00009286
32531.30626125	1.630752	0.00009383
32577.11542308	1.630756	0.0000948
32622.92458492	1.63076	0.00009588
32668.73374675	1.630764	0.00009695
32714.54290858	1.630768	0.00009802
32760.35207041	1.630772	0.00009919
32806.16123225	1.630776	0.0001004
32851.97039408	1.630781	0.00010164
32897.77955591	1.630785	0.00010291
32943.58871774	1.630789	0.00010418
32989.39787958	1.63079333	0.00010545
33035.20704141	1.630798	0.00010682
33081.01620324	1.630802	0.0001082
33126.82536507	1.63080692	0.00010965
33172.63452691	1.630811	0.00011116
33218.44368874	1.63081597	0.00011277
33264.25285057	1.63082	0.00011448
33310.0620124	1.63082403	0.00011618
33355.87117423	1.6327928	0.00011785
33401.68033607	1.63083308	0.0001195
33447.4894979	1.630838	0.00012124
33493.29865973	1.630843	0.00012299
33539.10782156	1.630847	0.00012482
33584.9169834	1.630852	0.00012673
33630.72614523	1.630856	0.00012872
33676.53530706	1.630861	0.00013076
33722.34446889	1.630865	0.00013291
33768.15363073	1.63087	0.00013515
33813.96279256	1.63087483	0.00013739
33859.77195439	1.630879	0.00013974
33905.58111622	1.63088389	0.00014208
33951.39027806	1.630888	0.00014446
33997.19943989	1.63089294	0.00014697
34043.00860172	1.630897	0.00014962
34088.81776355	1.630901	0.0001523
34134.62692539	1.630906	0.00015508
34180.43608722	1.63091	0.00015797
34226.24524905	1.630915	0.00016098
34272.05441088	1.630919	0.00016402
34317.86357271	1.630923	0.00016711
34363.67273455	1.63092716	0.00017028
34409.48189638	1.630932	0.00017345
34455.29105821	1.630936	0.00017676
34501.10022004	1.63094	0.00018024
34546.90938188	1.630944	0.00018369
34592.71854371	1.630948	0.00018721
34638.52770554	1.630952	0.00019062
34684.33686737	1.630955	0.00019425
34730.14602921	1.630959	0.0001981
34775.95519104	1.630963	0.00020213
34821.76435287	1.630966	0.00020602
34867.5735147	1.630969	0.00021011
34913.38267654	1.630973	0.00021391
34959.19183837	1.630976	0.0002183
35005.0010002	1.63113024	0.00022226
35050.81016203	1.63251556	0.00022555
35096.61932386	1.63390088	0.00022884
35142.4284857	1.6352862	0.00023213
35188.23764753	1.63566776	0.00023542
35234.04680936	1.6357649	0.00023872
35279.85597119	1.63586205	0.00024201
35325.66513303	1.63595919	0.0002453
35371.47429486	1.63605634	0.00024859
35417.28345669	1.63615348	0.00025188
35463.09261852	1.63625063	0.00025517
35508.90178036	1.63634777	0.00025846
35554.71094219	1.63644492	0.00026176
35600.52010402	1.63654206	0.00026505
35646.32926585	1.63663921	0.00026834
35692.13842769	1.63673635	0.00027163
35737.94758952	1.6368335	0.00027492
35783.75675135	1.63693064	0.00027821
35829.56591318	1.63702779	0.0002815
35875.37507502	1.63712493	0.00028479
35921.18423685	1.63722208	0.00028809
35966.99339868	1.63731922	0.00029138
36012.80256051	1.63741637	0.00029467
36058.61172234	1.63751823	0.00029796
36104.42088418	1.6376432	0.00030125
36150.23004601	1.63776817	0.00030454
36196.03920784	1.63789313	0.00030783
36241.84836967	1.6380181	0.00031113
36287.65753151	1.63814307	0.00031442
36333.46669334	1.63826803	0.00031771
36379.27585517	1.638393	0.000321
36425.085017	1.63851797	0.00032429
36470.89417884	1.63864293	0.00032758
36516.70334067	1.6387679	0.00033087
36562.5125025	1.63889287	0.00033417
36608.32166433	1.63901784	0.00033746
36654.13082617	1.6391428	0.00034075
36699.939988	1.63926777	0.00034404
36745.74914983	1.63939274	0.00034733
36791.55831166	1.6395177	0.00035062
36837.36747349	1.63964267	0.00035391
36883.17663533	1.63976764	0.0003572
36928.98579716	1.63989261	0.0003605
36974.79495899	1.64003739	0.00036379
37020.60412082	1.64019776	0.00036708
37066.41328266	1.64035813	0.00037037
37112.22244449	1.64051851	0.00037366
37158.03160632	1.64067888	0.00037695
37203.84076815	1.64083925	0.00038024
37249.64992999	1.64099962	0.00038354
37295.45909182	1.64115999	0.00038683
37341.26825365	1.64132037	0.00039012
37387.07741548	1.64148074	0.00039341
37432.88657732	1.64164111	0.0003967
37478.69573915	1.64180148	0.00039999
37524.50490098	1.64196185	0.00040328
37570.31406281	1.64212223	0.00040657
37616.12322464	1.6422826	0.00040987
37661.93238648	1.64244297	0.00041316
37707.74154831	1.64260334	0.00041645
37753.55071014	1.64276371	0.00041974
37799.35987197	1.64292409	0.0004254
37845.16903381	1.64308446	0.00043625
37890.97819564	1.64328739	0.0004471
37936.78735747	1.64349257	0.00045796
37982.5965193	1.64369774	0.00046881
38028.40568114	1.64390291	0.00047966
38074.21484297	1.64410809	0.00049051
38120.0240048	1.64431326	0.00050136
38165.83316663	1.64451844	0.00051221
38211.64232847	1.64472361	0.00052307
38257.4514903	1.64492878	0.00053392
38303.26065213	1.64513396	0.00054477
38349.06981396	1.64533913	0.00055562
38394.8789758	1.6455443	0.00056647
38440.68813763	1.64574948	0.00057732
38486.49729946	1.64595465	0.00058817
38532.30646129	1.64615983	0.00059903
38578.11562312	1.646365	0.00060988
38623.92478496	1.64657017	0.00062073
38669.73394679	1.64677535	0.00063158
38715.54310862	1.64698052	0.00064243
38761.35227045	1.64720485	0.00065328
38807.16143229	1.64746631	0.00066413
38852.97059412	1.64772777	0.00067499
38898.77975595	1.64798922	0.00068584
38944.58891778	1.64825068	0.00069669
38990.39807962	1.64851214	0.00070754
39036.20724145	1.6487736	0.00071839
39082.01640328	1.64903506	0.00072924
39127.82556511	1.64929652	0.0007401
39173.63472695	1.64955798	0.00075095
39219.44388878	1.64981943	0.0007618
39265.25305061	1.65008089	0.00077265
39311.06221244	1.65034235	0.0007835
39356.87137427	1.65060381	0.00079435
39402.68053611	1.65086527	0.0008052
39448.48969794	1.65112673	0.00081606
39494.29885977	1.65138818	0.00082691
39540.1080216	1.65164964	0.00083776
39585.91718344	1.6519111	0.00084861
39631.72634527	1.65217256	0.00085946
39677.5355071	1.6524852	0.00087031
